Date,Clicks,Impressions,CTR,Position
2026-06-26,0,0,,
2026-06-27,0,0,,
2026-06-28,0,0,,
2026-06-29,0,0,,
2026-06-30,0,2,0%,67
2026-07-01,0,0,,
2026-07-02,0,0,,
2026-07-03,0,0,,
2026-07-04,0,5,0%,7.2
2026-07-05,0,45,0%,32.6
2026-07-06,0,294,0%,21.8
2026-07-07,2,618,0.32%,15.1
